id,type,tr_train_RMSE,tr_test_RMSE,rf_train_RMSE,rf_test_RMSE
2553,FINANCE,0.0809,0.3304,0.0326,0.2016
2097,INDUSTRY,0.1746,0.1861,0.0689,0.2267
2270,MACRO,0.1668,0.2326,0.0618,0.2475
1821,MICRO,0.1016,0.1657,0.0564,0.1410
2715,DEMOGRAPHIC,0.0141,0.3271,0.0032,0.3152
2632,FINANCE,0.0763,0.3377,0.0282,0.3704
2099,INDUSTRY,0.1542,0.1826,0.0654,0.2213
2359,MACRO,0.0865,0.2705,0.0335,0.2656
1426,MICRO,0.2047,0.3497,0.0841,0.3012
2676,DEMOGRAPHIC,0.0319,0.2456,0.0125,0.2350
2532,FINANCE,0.1327,0.2299,0.0552,0.2222
1876,INDUSTRY,0.0560,0.1630,0.0423,0.1833
2370,MACRO,0.1370,0.2788,0.0209,0.2553
1514,MICRO,0.2354,0.3770,0.0929,0.3581
2740,DEMOGRAPHIC,0.0354,0.3886,0.0098,0.4060
2651,FINANCE,0.0710,0.3907,0.0473,0.3833
2181,INDUSTRY,0.1257,0.1981,0.0504,0.1841
2509,MACRO,0.0609,0.2076,0.0455,0.2367
1735,MICRO,0.0714,0.1833,0.0463,0.1336
2726,DEMOGRAPHIC,0.0346,0.3079,0.0141,0.2805
2624,FINANCE,0.1279,0.2255,0.0438,0.3179
1913,INDUSTRY,0.0635,0.2822,0.0335,0.2966
2314,MACRO,0.1080,0.5960,0.0218,0.6297
1406,MICRO,0.2132,0.2545,0.0888,0.2462
2712,DEMOGRAPHIC,0.0347,0.2287,0.0126,0.2274
2630,FINANCE,0.1190,0.3568,0.0368,0.3597
1942,INDUSTRY,0.1471,0.2312,0.0621,0.1889
2311,MACRO,0.0432,0.2955,0.0166,0.2693
1712,MICRO,0.0658,0.2075,0.0496,0.2228
2678,DEMOGRAPHIC,0.0963,0.1210,0.0385,0.1220
2625,FINANCE,0.1162,0.2947,0.0370,0.2475
2153,INDUSTRY,0.1565,0.4477,0.0682,0.3603
2234,MACRO,0.0410,0.2013,0.0293,0.1800
1698,MICRO,0.0712,0.1998,0.0342,0.2339
2685,DEMOGRAPHIC,0.1184,0.4888,0.0325,0.3962
2599,FINANCE,0.1285,0.1754,0.0479,0.2102
1963,INDUSTRY,0.1543,0.1704,0.0742,0.1282
2436,MACRO,0.1367,0.2623,0.0628,0.2464
1649,MICRO,0.1863,0.2800,0.0904,0.2519
2731,DEMOGRAPHIC,0.0429,0.2501,0.0218,0.2459
2582,FINANCE,0.0138,0.2286,0.0031,0.2219
2135,INDUSTRY,0.0944,0.1656,0.0511,0.1929
2392,MACRO,0.1274,0.4043,0.0321,0.2518
1555,MICRO,0.1317,0.2486,0.0560,0.2504
2690,DEMOGRAPHIC,0.0343,0.3590,0.0072,0.4175
2561,FINANCE,0.0370,0.2672,0.0043,0.2847
2192,INDUSTRY,0.1102,0.1682,0.0692,0.1745
2450,MACRO,0.0871,0.2495,0.0379,0.2537
1510,MICRO,0.1827,0.2413,0.0708,0.2288
2742,DEMOGRAPHIC,0.1223,0.2876,0.0616,0.3022
2546,FINANCE,0.0462,0.4523,0.0161,0.5413
2000,INDUSTRY,0.1499,0.2473,0.0541,0.2707
2224,MACRO,0.0394,0.2264,0.0070,0.2292
1622,MICRO,0.1141,0.3226,0.0817,0.2613
2684,DEMOGRAPHIC,0.0645,0.1994,0.0200,0.1698
2579,FINANCE,0.1849,0.3371,0.0911,0.2781
1888,INDUSTRY,0.1977,0.6419,0.0683,0.5779
2379,MACRO,0.1236,0.5942,0.0217,0.7314
1563,MICRO,0.1031,0.2941,0.0457,0.2980
2765,DEMOGRAPHIC,0.2802,0.3989,0.0511,0.2098
2596,FINANCE,0.1217,0.3483,0.0491,0.2934
2045,INDUSTRY,0.1610,0.1925,0.0653,0.1650
2360,MACRO,0.1376,0.2353,0.0436,0.2110
1859,MICRO,0.1351,0.2290,0.0747,0.2061
2698,DEMOGRAPHIC,0.0165,0.3377,0.0045,0.3787
2576,FINANCE,0.0944,0.1782,0.0381,0.1731
1908,INDUSTRY,0.1187,0.2503,0.0530,0.1697
2282,MACRO,0.0984,0.4588,0.0551,0.2972
1616,MICRO,0.1772,0.2944,0.0924,0.2535
2689,DEMOGRAPHIC,0.0069,0.3733,0.0015,0.3761
2565,FINANCE,0.0163,0.2492,0.0032,0.2570
1877,INDUSTRY,0.0511,0.1555,0.0401,0.1464
2382,MACRO,0.0671,0.2491,0.0210,0.2444
1696,MICRO,0.0599,0.2451,0.0472,0.2029
2670,DEMOGRAPHIC,0.0485,0.3015,0.0151,0.2528
2550,FINANCE,0.0502,0.3774,0.0155,0.3683
1964,INDUSTRY,0.1600,0.2841,0.0586,0.2700
2432,MACRO,0.0734,0.1863,0.0288,0.1936
1866,MICRO,0.1068,0.1782,0.0707,0.1548
2746,DEMOGRAPHIC,0.0460,0.5650,0.0198,0.5579
2557,FINANCE,0.0251,0.2751,0.0042,0.2396
2037,INDUSTRY,0.1702,0.2634,0.0714,0.2347
2251,MACRO,0.0312,0.3839,0.0068,0.3826
1687,MICRO,0.1021,0.2156,0.0558,0.1989
2771,DEMOGRAPHIC,0.0521,0.2546,0.0390,0.1914
2529,FINANCE,0.0676,0.4260,0.0281,0.3936
1989,INDUSTRY,0.2025,0.2768,0.0804,0.2433
2513,MACRO,0.0811,0.2930,0.0230,0.3032
1540,MICRO,0.1727,0.3687,0.0752,0.3604
2702,DEMOGRAPHIC,0.0563,0.2536,0.0282,0.2636
2567,FINANCE,0.0693,0.3484,0.0182,0.3785
2143,INDUSTRY,0.1587,0.3470,0.0534,0.4054
2520,MACRO,0.0306,0.4656,0.0070,0.4797
1463,MICRO,0.1685,0.2241,0.0667,0.2249
2718,DEMOGRAPHIC,0.0178,0.2475,0.0056,0.2455
2586,FINANCE,0.0680,0.6417,0.0145,0.7290
2121,INDUSTRY,0.1458,0.2989,0.0483,0.2100
2287,MACRO,0.0425,0.4762,0.0119,0.4980
1836,MICRO,0.1429,0.2952,0.0653,0.2579
2695,DEMOGRAPHIC,0.0194,0.3729,0.0051,0.3722
2558,FINANCE,0.1238,0.1924,0.0460,0.1851
2183,INDUSTRY,0.1929,0.3163,0.0486,0.2443
2514,MACRO,0.0522,0.3605,0.0058,0.1328
1747,MICRO,0.1376,0.2635,0.0703,0.2463
2683,DEMOGRAPHIC,0.0450,0.2096,0.0260,0.2014
2555,FINANCE,0.0191,0.2548,0.0043,0.2700
2102,INDUSTRY,0.1738,0.2451,0.0649,0.2146
2312,MACRO,0.0419,0.3273,0.0148,0.3146
1786,MICRO,0.1626,0.2960,0.0745,0.2021
2708,DEMOGRAPHIC,0.0816,0.3991,0.0430,0.2997
2642,FINANCE,0.0230,0.3195,0.0070,0.3123
2105,INDUSTRY,0.2310,0.3574,0.0952,0.2957
2218,MACRO,0.0455,0.6006,0.0056,0.4612
1668,MICRO,0.1348,0.2585,0.0755,0.2415
2680,DEMOGRAPHIC,0.0959,0.2314,0.0162,0.2189
2535,FINANCE,0.1322,0.2850,0.0485,0.2652
1986,INDUSTRY,0.1297,0.2837,0.0605,0.3228
2348,MACRO,0.0718,0.2426,0.0285,0.2377
1685,MICRO,0.1186,0.3025,0.0569,0.3073
2703,DEMOGRAPHIC,0.0801,0.1615,0.0198,0.1613
2571,FINANCE,0.0119,0.4021,0.0023,0.4055
2038,INDUSTRY,0.1640,0.1891,0.0717,0.1746
2516,MACRO,0.1336,0.3437,0.0238,0.3281
1788,MICRO,0.1033,0.1855,0.0539,0.1747
2756,DEMOGRAPHIC,0.1795,0.6145,0.0868,0.2902
2631,FINANCE,0.1098,0.4602,0.0403,0.4005
2031,INDUSTRY,0.1445,0.2077,0.0534,0.2143
2252,MACRO,0.1231,0.1994,0.0328,0.2061
1860,MICRO,0.0676,0.2612,0.0656,0.2173
2713,DEMOGRAPHIC,0.0384,0.3098,0.0070,0.3536
2544,FINANCE,0.0209,0.7561,0.0051,0.7229
2138,INDUSTRY,0.1368,0.2709,0.0558,0.2590
2399,MACRO,0.0412,0.4150,0.0131,0.3977
1595,MICRO,0.1651,0.2893,0.0792,0.2524
