23940,44465,10163,13460,122320,266069,17457,20375,203844,2216,71959,68126,13999,206985,11236,22553
21004,39124,12497,7936,133112,259584,11234,14825,194955,3836,41221,73798,17331,163492,9659,18696
30568,39329,16658,8866,151404,343427,12315,16045,218653,3559,45816,97643,20060,179985,8806,27443
32332,40771,15449,10728,164036,350773,17090,11922,228990,4011,44378,89630,23328,182747,12499,30106
25561,32868,29580,9299,120475,292660,14721,15203,230824,2793,42129,87990,18845,169886,11681,26698
26390,36696,8088,9004,93171,344194,14452,10664,219429,2677,43933,93867,20884,151620,11518,30363
26493,31981,8112,8252,211560,326394,16363,11948,246597,2686,38317,119551,15042,36069,12223,19956
18622,23391,9296,7947,121525,243320,10413,7526,108152,1634,31920,59339,15243,525539,9306,19992
21720,29785,10085,8113,130230,277608,9951,6527,205014,1987,35107,63397,18371,160739,9739,20415
21803,33737,11872,8897,165083,308505,13259,7272,228638,2414,41942,87943,22458,156706,11048,20353
16319,24562,10490,6685,144470,250689,11461,6818,187804,1941,30219,77652,20018,152323,9842,22634
10249,19531,9794,5320,155644,264956,11151,7537,130844,1664,11349,97447,19684,84634,10180,13606
25363,47583,12055,14080,138239,261646,18486,22203,274825,2417,75424,71844,17768,232055,8050,20880
22364,43530,12757,9188,139235,280249,14252,16757,226631,3675,43752,87054,18631,177133,8423,22049
31631,45351,16755,10871,182766,435821,12300,17324,225438,4286,48616,112099,21883,213374,11306,25328
32040,47778,15726,11986,166110,299220,22608,15731,229442,4451,47517,100968,23978,171690,10839,30668
26471,37937,13085,11223,137258,318830,16501,17395,209554,3356,47381,99559,21909,172851,12650,29498
25844,41586,21023,11227,101511,343477,15995,14179,211401,3032,49311,116825,23706,169789,11457,29325
28238,36018,11953,10031,238933,323079,18826,14385,256570,3194,49565,137966,17511,37896,12658,25028
20885,29352,11862,9235,143670,256002,11581,8227,99465,1890,35408,65863,17193,505312,8996,20929
23875,31817,12344,10237,173070,302567,11268,7216,176288,2352,44363,72632,20536,163380,9461,20884
25088,38960,11541,10363,174210,327296,12676,6512,180741,2806,48147,105342,24137,155263,9317,25436
