id,type,tr_train_RMSE,tr_test_RMSE,rf_train_RMSE,rf_test_RMSE
1651,MICRO,0.1781,0.3938,0.0695,0.3688
1652,MICRO,0.0613,0.2629,0.0629,0.3355
1653,MICRO,0.1514,0.3524,0.0712,0.3324
1654,MICRO,0.1587,0.1806,0.0744,0.1978
1655,MICRO,0.1648,0.2945,0.0648,0.2622
1656,MICRO,0.1812,0.3206,0.0983,0.2808
1657,MICRO,0.169,0.2405,0.0987,0.2133
1658,MICRO,0.1277,0.1927,0.072,0.1919
1659,MICRO,0.1321,0.2223,0.085,0.1411
1660,MICRO,0.1172,0.3703,0.0539,0.3607
1661,MICRO,0.1943,0.324,0.09,0.2405
1662,MICRO,0.1961,0.3364,0.0805,0.2662
1663,MICRO,0.2043,0.3469,0.0851,0.3218
1664,MICRO,0.1812,0.2635,0.0716,0.2531
1665,MICRO,0.1906,0.3499,0.0851,0.3339
1666,MICRO,0.1926,0.3233,0.0794,0.3085
1668,MICRO,0.1348,0.2585,0.0755,0.2415
1669,MICRO,0.2161,0.2417,0.0932,0.2253
1672,MICRO,0.1906,0.3748,0.0771,0.2931
1674,MICRO,0.1736,0.3325,0.0688,0.2626
1675,MICRO,0.1443,0.3423,0.0576,0.2821
1677,MICRO,0.1146,0.3702,0.0478,0.3921
1679,MICRO,0.1441,0.2264,0.0755,0.2294
1680,MICRO,0.0732,0.3951,0.062,0.2422
1681,MICRO,0.0932,0.3838,0.0449,0.3451
1682,MICRO,0.0837,0.329,0.075,0.3099
1684,MICRO,0.0875,0.2858,0.0494,0.2568
1685,MICRO,0.1186,0.3025,0.0569,0.3073
1686,MICRO,0.0548,0.199,0.0522,0.2111
1687,MICRO,0.1021,0.2156,0.0558,0.1989
1688,MICRO,0.0966,0.3401,0.0521,0.2935
1689,MICRO,0.0933,0.2872,0.0413,0.2771
1690,MICRO,0.0916,0.3077,0.0427,0.298
1691,MICRO,0.1315,0.2311,0.0662,0.1876
1692,MICRO,0.0765,0.2104,0.0465,0.2354
1693,MICRO,0.0715,0.2752,0.0385,0.2678
1695,MICRO,0.1022,0.4108,0.0446,0.3961
1696,MICRO,0.0599,0.2451,0.0472,0.2029
1697,MICRO,0.097,0.229,0.0526,0.2132
1698,MICRO,0.0712,0.1998,0.0342,0.2339
1699,MICRO,0.0794,0.2658,0.0535,0.2055
1701,MICRO,0.1634,0.2912,0.0601,0.2481
1704,MICRO,0.0843,0.2038,0.0477,0.1931
1705,MICRO,0.1531,0.3446,0.0864,0.3214
1708,MICRO,0.1092,0.2687,0.0468,0.2459
1710,MICRO,0.087,0.2573,0.0503,0.2605
1712,MICRO,0.0658,0.2075,0.0496,0.2228
1713,MICRO,0.089,0.2388,0.0604,0.1773
1715,MICRO,0.0897,0.1639,0.0493,0.1818
1716,MICRO,0.0877,0.1939,0.0661,0.1704
1721,MICRO,0.1544,0.3962,0.0602,0.3481
1722,MICRO,0.1547,0.2159,0.0731,0.201
1723,MICRO,0.0641,0.2512,0.0368,0.2574
1724,MICRO,0.113,0.2452,0.0547,0.2399
1725,MICRO,0.1149,0.2175,0.0664,0.1918
1727,MICRO,0.0917,0.2756,0.047,0.2776
1728,MICRO,0.1075,0.3372,0.0515,0.2909
1729,MICRO,0.0784,0.1591,0.0482,0.1525
1731,MICRO,0.0844,0.2849,0.0435,0.2985
1732,MICRO,0.0947,0.1588,0.0503,0.1539
1733,MICRO,0.119,0.255,0.0543,0.2427
1735,MICRO,0.0714,0.1833,0.0463,0.1336
1737,MICRO,0.1369,0.2193,0.0676,0.2216
1738,MICRO,0.1017,0.2681,0.0462,0.2655
1739,MICRO,0.1012,0.2226,0.0477,0.2199
1740,MICRO,0.1931,0.2586,0.0812,0.2369
1741,MICRO,0.1387,0.2975,0.0773,0.2271
1743,MICRO,0.164,0.2379,0.0733,0.2189
1745,MICRO,0.0969,0.263,0.0702,0.1837
1746,MICRO,0.1459,0.2371,0.0609,0.2105
1747,MICRO,0.1376,0.2635,0.0703,0.2463
1748,MICRO,0.0711,0.1576,0.0424,0.1925
1749,MICRO,0.1248,0.2036,0.0671,0.1732
1753,MICRO,0.1261,0.3075,0.0617,0.3271
